"Code","Year.index","Engagement","FreedomSpeak","Openness","RecommendCare","RecommendWork","Responses","rr","SHMI.before","SHMI.index","Survey.clinical.proportion","WorkStress"
"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA
"R0A",2015,NA,NA,NA,NA,NA,6978,NA,NA,NA,NA,NA
"R0A",2016,NA,NA,NA,NA,NA,6978,NA,NA,NA,NA,NA
"R0A",2017,NA,NA,NA,NA,NA,6978,NA,NA,0.9723,NA,NA
"R0A",2018,0.710349465333333,0.78748303325,0.793659491,0.754455645,0.642843931,6978,0.352802567,0.9723,0.9302,0.65,0.37883471
"R0A",2019,0.705588450333333,0.7831259495,0.7857050855,0.740689892,0.644293785,6978,0.332206617,0.9302,0.9519,0.62,0.385796402
"R0B",2015,NA,NA,NA,NA,NA,3824,NA,NA,NA,NA,NA
"R0B",2016,NA,NA,NA,NA,NA,3824,NA,NA,NA,NA,NA
"R0B",2017,NA,NA,NA,NA,NA,3824,NA,NA,NA,NA,NA
"R0B",2018,NA,NA,NA,NA,NA,3824,NA,NA,NA,NA,NA
"R0B",2019,0.680190329,0.79743203025,0.79385376825,0.70596595,0.618235536,3824,0.4712842,NA,1.0472,0.75,0.382141717
"R1F",2015,NA,NA,NA,NA,NA,NA,NA,1.0212,0.9944,NA,NA
"R1F",2016,NA,NA,NA,NA,NA,NA,NA,0.9944,1.0466,NA,NA
"R1F",2017,NA,NA,NA,NA,NA,NA,NA,1.0466,1.1239,NA,NA
"R1F",2018,NA,NA,NA,NA,NA,NA,NA,1.1239,1.0088,NA,NA
"R1F",2019,NA,NA,NA,NA,NA,NA,NA,1.0088,1.053,NA,NA
"R1F1",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA
"R1F1",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA
"R1F1",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA
"R1F1",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA
"R1F1",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA
"R1H",2015,0.676948365,0.7174458595,0.72534265675,0.561533635,0.472380732,7530,0.299377638,0.8452,0.9003,0.71,0.433391192
"R1H",2016,0.701177150333333,0.758831091,0.775625273,0.650351539,0.577173738,7530,0.461427492,0.9003,0.8821,0.7,0.40362772
"R1H",2017,0.680133939666667,0.74943315425,0.7722046125,0.652212747,0.572441686,7530,0.47812647,0.8821,0.9105,0.71,0.441341663
"R1H",2018,0.694386684333333,0.774552158,0.7927342205,0.691913491,0.627903809,7530,0.486614071,0.9105,0.8777,0.73,0.427822128
"R1H",2019,0.694939477666667,0.77272297475,0.784384625,0.678586383,0.624124464,7530,0.473555122,0.8777,0.9319,0.72,0.456537915
"R1K",2015,0.729385619666667,0.74874747875,0.73893121775,0.618388493,0.52413772,3671,0.321728691,0.8802,0.903,0.74,0.347328887
"R1K",2016,0.729149971333333,0.748672797,0.7609829965,0.565341715,0.519139797,3671,0.348777506,0.903,0.8158,0.74,0.419221193
"R1K",2017,0.720534826333333,0.7517382405,0.75932608375,0.602723188,0.53290569,3671,0.477068794,0.8158,0.8263,0.78,0.411825429
"R1K",2018,0.714208102,0.7616373495,0.7682139385,0.574573664,0.531085218,3671,0.434083601,0.8263,0.8294,0.76,0.433631384
"R1K",2019,0.710206091,0.77792991175,0.785310891,0.585192119,0.533714561,3671,0.454050711,0.8294,0.8256,0.74,0.403458638
"RA2",2015,0.721407910666667,0.78628717325,0.773162472,0.782029632,0.680622183,1886,0.404340377,0.7997,0.8637,0.7,0.328107202
"RA2",2016,0.719613941666667,0.77691347025,0.76431166575,0.760404678,0.627523435,1886,0.340091917,0.8637,0.9121,0.69,0.352330764
"RA2",2017,0.717992342666667,0.7949249535,0.7845276545,0.795403622,0.692272527,1886,0.443150305,0.9121,0.8102,0.67,0.355553733
"RA2",2018,0.733981738666667,0.810140362,0.79445844625,0.824646468,0.705531377,1886,0.375095105,0.8102,0.7995,0.7,0.379544697
"RA2",2019,0.735153724,0.80910089575,0.7954446615,0.79361195,0.698160747,1886,0.448193916,0.7995,0.8047,0.68,0.371004963
"RA3",2015,0.699263314666667,0.7526320825,0.735831265,0.544674926,0.523927828,700,0.485981308,1.0183,1.1674,0.72,0.384714788
"RA3",2016,0.679230817666667,0.75393280325,0.75239027025,0.558488906,0.509348562,700,0.458700882,1.1674,1.1106,0.72,0.416105555
"RA3",2017,0.672664778666667,0.7458569915,0.7367860635,0.545332489,0.461028568,700,0.447303922,1.1106,1.0219,0.71,0.430369755
"RA3",2018,0.677872722,0.74287233875,0.742040958,0.5704782,0.528887151,700,0.369257951,1.0219,0.9023,0.66,0.407845746
"RA3",2019,0.685556499666667,0.75263035825,0.76021921,0.549424016,0.517730819,700,0.413467218,0.9023,1.0037,0.67,0.404966355
"RA4",2015,0.731821738333333,0.75513226825,0.74598629425,0.678635101,0.614603831,1372,0.608805668,1.0107,1.0184,0.67,0.33287017
"RA4",2016,0.717960627666667,0.765284266,0.7676724025,0.647874689,0.619596586,1372,0.644123134,1.0184,0.9958,0.67,0.312742376
"RA4",2017,0.725577162666667,0.76650082075,0.76045540525,0.680473102,0.5785309,1372,0.575978162,0.9958,0.9552,0.66,0.323673628
"RA4",2018,0.746277094333333,0.787901622,0.78404372,0.736734501,0.69365282,1372,0.712600536,0.9552,1.0049,0.74,0.290703646
"RA4",2019,0.774703608666667,0.81376971225,0.8022885665,0.7658829,0.749408316,1372,0.719077568,1.0049,0.8988,0.74,0.312805321
"RA7",2015,0.685273523666667,0.7430168215,0.74500199425,0.767199874,0.606992946,5123,0.442234964,0.9781,0.9774,0.69,0.360562804
"RA7",2016,0.695424684666667,0.76495829575,0.76622589175,0.809323246,0.669342651,5123,0.421145065,0.9774,0.9913,0.67,0.339859857
"RA7",2017,0.692486389666667,0.76732791175,0.77700178625,0.830805398,0.687885153,5123,0.428898034,0.9913,1.0168,0.65,0.352738268
"RA7",2018,0.703028610333333,0.79832156375,0.795182358,0.849310975,0.707668562,5123,0.524692031,1.0168,1.0504,0.68,0.36980737
"RA7",2019,0.713353262,0.80752887175,0.8030779615,0.853935586,0.739043779,5123,0.552464143,1.0504,1.0044,0.68,0.359372499
"RA9",2015,0.715640961666667,0.74818624475,0.7300948565,0.792434433,0.703037546,2955,0.46214457,0.9785,0.8219,0.63,0.342167837
"RA9",2016,0.727266136666667,0.7758812695,0.750578381,0.778272146,0.694735374,2955,0.454057679,0.8219,0.8312,0.61,0.335021674
"RA9",2017,0.702310864333333,0.7675367455,0.75065976025,0.744154946,0.626956192,2955,0.373925009,0.8312,0.9159,0.62,0.359867054
"RA9",2018,0.718261819666667,0.78666645925,0.765122895,0.756103667,0.673290654,2955,0.427817501,0.9159,0.9036,0.62,0.382483414
"RA9",2019,0.697071096,0.77846647275,0.762047674,0.729692734,0.651733424,2955,0.466456196,0.9036,0.9893,0.6,0.380023539
"RAE",2015,0.718359162,0.761146608,0.76673609325,0.658455841,0.532927823,2290,0.461447212,0.9684,0.9465,0.67,0.359058761
"RAE",2016,0.692373174666667,0.75329032775,0.77412488875,0.642909893,0.547739593,2290,0.388381743,0.9465,0.9748,0.7,0.358005152
"RAE",2017,0.713451724666667,0.7622248595,0.76721770925,0.677857355,0.610941323,2290,0.353300733,0.9748,0.9305,0.65,0.338514895
"RAE",2018,0.733159103666667,0.77863256925,0.78030725375,0.680436741,0.64689644,2290,0.352334235,0.9305,0.9086,0.63,0.36407461
"RAE",2019,0.731202278666667,0.79694703225,0.79946875825,0.710302892,0.684715056,2290,0.376644737,0.9086,0.9606,0.66,0.374348174
"RAJ",2015,0.662592898333333,0.75028095075,0.757531755,0.622708515,0.520742759,2625,0.452176051,1.0361,1.1516,0.71,0.387864879
"RAJ",2016,0.678820578,0.76604108475,0.774611984,0.631517054,0.527080051,2625,0.414875634,1.1516,1.1743,0.68,0.367333284
"RAJ",2017,0.663332056666667,0.779998229,0.79487624775,0.613322737,0.522147911,2625,0.414863594,1.1743,1.1152,0.69,0.387390566
"RAJ",2018,0.680192621,0.7823011675,0.79186661275,0.671706582,0.577492297,2625,0.494477681,1.1152,1.1195,0.73,0.40636439
"RAJ",2019,0.683702131,0.798310846,0.81284369775,0.659405045,0.594348859,2625,0.581524147,1.1195,1.0745,0.72,0.386712926
"RAL",2015,0.707587186333333,0.748541564,0.73877953975,0.719241499,0.607332045,3810,0.381214808,0.8608,0.8852,0.69,0.407967941
"RAL",2016,0.707121739333333,0.76836009325,0.7716361975,0.743959633,0.619671328,3810,0.419044459,0.8852,0.9012,0.69,0.415852483
"RAL",2017,0.704690304333333,0.76323885425,0.761598918,0.741100091,0.612124218,3810,0.471154936,0.9012,0.8646,0.7,0.418053919
"RAL",2018,0.710616512,0.765918681,0.76648097,0.726236214,0.622578618,3810,0.359062639,0.8646,0.827,0.7,0.423209143
"RAL",2019,0.706019204333333,0.76945653975,0.767833031,0.713244266,0.620138179,3810,0.41503268,0.827,0.8146,0.71,0.435159622
"RAP",2015,0.734126773,0.7550669655,0.7389752715,0.484513418,0.501878898,1811,0.276315789,0.9546,0.9494,0.72,0.396830292
"RAP",2016,0.717338402333333,0.74779863525,0.763184714,0.499341506,0.530943206,1811,0.340870739,0.9494,0.8893,0.74,0.396172114
"RAP",2017,0.713763310333333,0.74990768575,0.76026970775,0.542586961,0.565529011,1811,0.411510313,0.8893,0.8558,0.76,0.45712904
"RAP",2018,0.722780013666667,0.74805141325,0.766982972,0.567880157,0.58767451,1811,0.390688896,0.8558,0.881,0.77,0.441391043
"RAP",2019,0.723456571,0.770559002,0.78034217925,0.592701267,0.634676268,1811,0.561376317,0.881,0.8742,0.8,0.424200433
"RAS",2015,0.760152583,0.74733663975,0.743947295,0.657357993,0.64779211,1664,0.335438596,0.9197,0.8805,0.69,0.302890546
"RAS",2016,0.738141652333333,0.754939559,0.7483824565,0.639096091,0.631539037,1664,0.462624318,0.8805,0.9313,0.7,0.306433956
"RAS",2017,0.737216054333333,0.76125770025,0.755323084,0.646570505,0.614782155,1664,0.531790023,0.9313,0.9448,0.69,0.345081935
"RAS",2018,0.721278455,0.76137145175,0.74347331325,0.573223943,0.551480641,1664,0.500161031,0.9448,0.9588,0.73,0.38721221
"RAS",2019,0.733937723333333,0.755065138,0.7549894905,0.554689398,0.537122024,1664,0.51310515,0.9588,0.9785,0.72,0.372049593
"RAX",2015,0.716771094,0.772837202,0.7684427525,0.669600561,0.583010849,2074,0.455331412,0.8783,0.9263,0.69,0.364602596
"RAX",2016,0.715128709,0.8005747555,0.80301930175,0.747626232,0.689151987,2074,0.506623702,0.9263,0.8584,0.69,0.379762781
"RAX",2017,0.726739663,0.791175044,0.80340807525,0.764139225,0.704374334,2074,0.527882313,0.8584,0.8574,0.7,0.382091967
"RAX",2018,0.713976166666667,0.8171434275,0.81890055725,0.816593521,0.741273752,2074,0.581830327,0.8574,0.8193,0.74,0.40194929
"RAX",2019,0.718216442666667,0.81139652,0.81525945875,0.821258754,0.733369197,2074,0.652406417,0.8193,0.768,0.75,0.422182831
"RBA",2015,0.754415456333333,0.7804520285,0.77164439275,0.825466333,0.740401033,2283,0.451887942,0.9674,1,0.7,0.314149235
"RBA",2016,0.714514892333333,0.7752914835,0.76905961075,0.842685216,0.710529456,2283,0.481138625,1,0.9844,0.72,0.323617464
"RBA",2017,0.726773448333333,0.79332481225,0.783884167,0.833132866,0.712610018,2283,0.399450927,0.9844,0.8907,0.68,0.331675853
"RBA",2018,0.715112354,0.78069973875,0.7746802105,0.836938128,0.721080209,2283,0.378106111,0.8907,0.9266,0.67,0.394622242
"RBA",2019,0.732364270666667,0.8266686695,0.814881749,0.853277174,0.773534924,2283,0.46629902,0.9266,0.9496,0.69,0.384114704
"RBD",2015,0.697526257,0.726712064,0.723888391,0.736237709,0.628998173,1238,0.570697125,1.079,1.1493,0.7,0.337779772
"RBD",2016,0.685821604,0.744507658,0.75339491375,0.756041812,0.645909446,1238,0.538882376,1.1493,1.1551,0.68,0.345552666
"RBD",2017,0.706288335,0.75029589825,0.757301943,0.758888885,0.665600055,1238,0.493477451,1.1551,1.1382,0.67,0.336407112
"RBD",2018,0.707399113333333,0.7715193355,0.77895281725,0.800714491,0.688343725,1238,0.493094438,1.1382,1.2059,0.67,0.37314861
"RBD",2019,0.718016690333333,0.7888088945,0.7890363245,0.776643192,0.695199554,1238,0.44903881,1.2059,1.158,0.63,0.37004393
"RBK",2015,0.652294202333333,0.70791576775,0.71528044675,0.510495075,0.487876479,1299,0.356641604,1.1032,1.046,0.69,0.420918374
"RBK",2016,0.652196868333333,0.7195828855,0.7208682615,0.48092776,0.47393425,1299,0.423396965,1.046,1.0339,0.68,0.392657247
"RBK",2017,0.654511616666667,0.74820706325,0.747803515,0.479349414,0.471338091,1299,0.360394181,1.0339,1.0966,0.66,0.426796309
"RBK",2018,0.689728298666667,0.76350444075,0.7671671645,0.493327962,0.516240328,1299,0.403525488,1.0966,1.1234,0.67,0.418747171
"RBK",2019,0.673392789,0.75202653125,0.74281385575,0.487863755,0.477944103,1299,0.313238486,1.1234,1.105,0.69,0.459164937
"RBL",2015,0.709133651333333,0.74145895875,0.73123227425,0.663051396,0.584103598,2265,0.469879518,0.9661,0.9834,0.69,0.324912186
"RBL",2016,0.69496877,0.752172692,0.752140792,0.678315937,0.604556386,2265,0.46345515,0.9834,0.9699,0.63,0.349912293
"RBL",2017,0.690862316666667,0.74377227175,0.7457180235,0.67417401,0.584904015,2265,0.310064935,0.9699,0.9556,0.62,0.37070881
"RBL",2018,0.667658448666667,0.735008668,0.7432059645,0.657144753,0.552001842,2265,0.454157418,0.9556,0.9722,0.67,0.418429171
"RBL",2019,0.681760135,0.76442119075,0.76363560125,0.678821454,0.60426321,2265,0.381248948,0.9722,1.1254,0.67,0.402889327
"RBN",2015,0.716665696333333,0.7798247695,0.798656914,0.82692963,0.725602656,570,0.551724138,1.0659,1.0338,0.67,0.279298621
"RBN",2016,0.739547349333333,0.78413712,0.80829595625,0.81204321,0.760411188,570,0.554119548,1.0338,1.0347,0.68,0.254420578
"RBN",2017,0.718257802333333,0.784260588,0.7935122205,0.832773523,0.772413068,570,0.510187449,1.0347,1.0165,0.65,0.277643444
"RBN",2018,0.774023697,0.811394647,0.828180327,0.873303521,0.810775492,570,0.507717303,1.0165,0.9908,0.67,0.307146848
"RBN",2019,0.718494889333333,0.81215907175,0.82444384225,0.873854677,0.780228208,570,0.460048426,0.9908,1.0881,0.62,0.315258292
"RBS",2015,0.616247698333333,0.72395510025,0.71739268375,0.817288004,0.538031632,2141,0.354459203,NA,NA,NA,0.442769063
"RBS",2016,0.627442762,0.713816931,0.721538542,0.807030716,0.531177857,2141,0.390260631,NA,NA,NA,0.388628099
"RBS",2017,0.677522288,0.7560417345,0.7541226695,0.834994483,0.631934295,2141,0.539408867,NA,NA,NA,0.389409894
"RBS",2018,0.706020876666667,0.78760598825,0.7897983495,0.893634953,0.720018853,2141,0.596779004,NA,NA,NA,0.393441976
"RBS",2019,0.683897278333333,0.77447025925,0.784511999,0.882755554,0.689868331,2141,0.617358708,NA,NA,0.68,0.411041626
"RBT",2015,NA,NA,NA,NA,NA,1246,NA,0.9991,0.9684,0.7,NA
"RBT",2016,NA,NA,NA,NA,NA,1246,NA,0.9684,1.0424,0.64,NA
"RBT",2017,0.701360262333333,0.79717208225,0.81646018825,0.74973164,0.660454219,1246,0.543110395,1.0424,1.0412,0.65,0.306054946
"RBT",2018,0.731711360666667,0.795706597,0.8206445945,0.775766824,0.707280914,1246,0.530266344,1.0412,1.0548,0.68,0.344133969
"RBT",2019,0.721409519,0.7922322155,0.809365574,0.760445209,0.705842523,1246,0.283181818,1.0548,1.0038,0.61,0.383110727
"RBZ",2015,0.775645188,0.79648756075,0.78987004,0.776848147,0.691134704,1776,0.48409894,0.9331,1.0085,0.75,0.297218456
"RBZ",2016,0.715538534666667,0.7950083525,0.80445920075,0.736339004,0.662029576,1776,0.367634855,1.0085,1.0438,0.65,0.336065789
"RBZ",2017,0.735754513666667,0.80819649175,0.79749129625,0.714694776,0.677821884,1776,0.380670611,1.0438,1.0771,0.64,0.363985228
"RBZ",2018,0.741846085666667,0.8169109965,0.8007367305,0.720614111,0.688571607,1776,0.376365442,1.0771,0.9977,0.67,0.409965962
"RBZ",2019,0.750144378333333,0.831027576,0.81470434175,0.768460269,0.743707072,1776,0.554826617,0.9977,1.0189,0.66,0.388190461
"RC1",2015,0.765463007,0.7406712505,0.742205225,0.77232832,0.674089209,1269,0.413098237,1.0353,0.9937,0.72,0.249149826
"RC1",2016,0.731064378666667,0.77488217925,0.77532677925,0.719272881,0.647973246,1269,0.412387938,0.9937,1.049,0.7,0.323838419
"RC1",2017,0.707597271,0.76921206025,0.795496884,0.669679437,0.605702845,1269,0.38586515,1.049,1.026,0.72,0.403246667
"RC1",2018,0.726140101,0.772621529,0.78863988025,0.707902186,0.630126273,1269,0.444523725,1.026,1.0578,0.74,0.389165415
"RC1",2019,0.719166710666667,0.77396026625,0.78967672175,0.669525138,0.615779937,1269,0.439404432,1.0578,1.1222,0.75,0.378514942
"RC9",2015,0.713455248666667,0.768430517,0.76022728775,0.713642456,0.625943878,581,0.490291262,1.0206,1.1032,0.75,0.338363837
"RC9",2016,0.743055118,0.767492422,0.76582392975,0.758674148,0.699922308,581,0.425391591,1.1032,1.0595,0.75,0.353387662
"RC9",2017,0.729072170333333,0.766170273,0.77120216325,0.715277167,0.658845535,581,0.537683359,1.0595,1.0702,0.74,0.352965188
"RC9",2018,0.714517094666667,0.795176806,0.785878308,0.705437342,0.676147735,581,0.516545601,1.0702,1.0461,0.74,0.3564526
"RC9",2019,0.744629439333333,0.774077145,0.77172974225,0.758102956,0.729441798,581,0.474673203,1.0461,1.0159,0.71,0.34794574
"RCB",2015,0.702697377,0.76362041175,0.7527963025,0.665751393,0.586847408,3203,0.450577967,1.0116,0.9949,0.65,0.334737421
"RCB",2016,0.702901843666667,0.74878361225,0.74391737475,0.672799666,0.609834831,3203,0.47540784,0.9949,0.974,0.67,0.320953324
"RCB",2017,0.688793973666667,0.738802393,0.73230607575,0.650790273,0.564250512,3203,0.4884273,0.974,0.9889,0.68,0.343265073
"RCB",2018,0.702853505,0.760981907,0.7464769855,0.666013437,0.584395064,3203,0.445957447,0.9889,0.9828,0.65,0.35019741
"RCB",2019,0.695526797333333,0.76487076775,0.751294534,0.647064137,0.602577533,3203,0.431148203,0.9828,0.9946,0.62,0.345290169
"RCD",2015,0.756020771333333,0.78562447125,0.787443879,0.783796333,0.691153746,1654,0.58952497,1.0132,0.9392,0.67,0.330434253
"RCD",2016,0.733543206666667,0.8042553975,0.799252381,0.79997829,0.657598972,1654,0.544850498,0.9392,0.9398,0.67,0.359031451
"RCD",2017,0.708767490333333,0.79052518025,0.7812038815,0.756540408,0.597610419,1654,0.522094926,0.9398,0.9044,0.71,0.381999622
"RCD",2018,0.712738129333333,0.8105506625,0.79990092475,0.761504005,0.633508849,1654,0.388560158,0.9044,0.9273,0.72,0.398888819
"RCD",2019,0.722087739333333,0.80498200975,0.79692281975,0.764346807,0.646623202,1654,0.406088878,0.9273,0.9722,0.71,0.414438138
"RCF",2015,0.701008712333333,0.758179216,0.77014253925,0.756800845,0.690040283,1384,0.397121743,0.9393,0.9074,0.66,0.319844093
"RCF",2016,0.702186969666667,0.75936164525,0.77693155575,0.71003896,0.619403323,1384,0.397527164,0.9074,0.9656,0.64,0.332125296
"RCF",2017,0.717564736666667,0.77315947225,0.79408974225,0.734513879,0.64177969,1384,0.455503088,0.9656,0.9862,0.61,0.341385468
"RCF",2018,0.719941722333333,0.8094014295,0.8284319485,0.737322034,0.669584077,1384,0.463632828,0.9862,0.9017,0.66,0.34349474
"RCF",2019,0.725682536666667,0.8165915285,0.83424048325,0.728291553,0.696900372,1384,0.51874063,0.9017,0.8842,0.68,0.362158739
"RCU",2015,0.711935069333333,0.801063319,0.77114486925,0.87055064,0.686482425,1992,0.448979592,NA,NA,0.6,0.372084126
"RCU",2016,0.685836892333333,0.805214525,0.76830517975,0.866514364,0.655865085,1992,0.390909091,NA,NA,0.59,0.379652408
"RCU",2017,0.672316472333333,0.79677351025,0.766291276,0.846140806,0.621512262,1992,0.484278768,NA,NA,0.63,0.438621881
"RCU",2018,0.683255631333333,0.79863124825,0.765801454,0.853576083,0.633697331,1992,0.535101404,NA,NA,0.62,0.427915672
"RCU",2019,0.693554591,0.80633943775,0.774479096,0.862435147,0.674979774,1992,0.609360661,NA,NA,0.62,0.423165173
"RCX",2015,0.709297385666667,0.7429390475,0.76130713275,0.606881194,0.580974133,1368,0.532650448,0.9291,0.9107,0.73,0.391708641
"RCX",2016,0.731213747666667,0.75051241925,0.7622477595,0.626321127,0.585523154,1368,0.448793216,0.9107,1.0098,0.76,0.348747791
"RCX",2017,0.706410159333333,0.74087531275,0.74868668725,0.600567958,0.542359235,1368,0.459069021,1.0098,0.9822,0.71,0.362110124
"RCX",2018,0.655276453,0.72160247475,0.71367721275,0.492896652,0.429246088,1368,0.440977806,0.9822,0.9956,0.7,0.407485831
"RCX",2019,0.688476571333333,0.733474129,0.7322334405,0.513268087,0.506375614,1368,0.423791822,0.9956,1.0021,0.7,0.414817561
"RD1",2015,0.706611889333333,0.74055906975,0.73637385425,0.752872205,0.652240631,2173,0.481589958,0.9673,0.9741,0.67,0.34790327
"RD1",2016,0.715115874,0.74550422525,0.73642183225,0.767302187,0.669656295,2173,0.456008147,0.9741,1.0089,0.67,0.346315429
"RD1",2017,0.704015639666667,0.7512684225,0.74957841175,0.748353889,0.637571365,2173,0.450306264,1.0089,0.9888,0.66,0.342344573
"RD1",2018,0.704555244333333,0.7521825145,0.73709112625,0.767489436,0.654048747,2173,0.456620106,0.9888,0.9934,0.64,0.370179315
"RD1",2019,0.705900522,0.770959404,0.74838332775,0.732372178,0.645409493,2173,0.419984538,0.9934,1.0256,0.63,0.393015718
"RD3",2015,0.732710709666667,0.80354704875,0.769634766,0.815672181,0.673706142,1707,0.405817972,0.9895,0.9172,0.67,0.356981797
"RD3",2016,0.731221157333333,0.79767767625,0.77431422625,0.819021006,0.688795081,1707,0.505558497,0.9172,0.8325,0.74,0.335920504
"RD3",2017,0.743959938,0.80828741625,0.78841872925,0.840053021,0.723288919,1707,0.47155305,0.8325,0.8642,0.74,0.343137996
"RD3",2018,0.710463320333333,0.7976184255,0.78108748575,0.796734214,0.690478811,1707,0.495911369,0.8642,0.9159,0.73,0.35973124
"RD3",2019,0.718081318,0.80894512125,0.7862974505,0.781776141,0.68454565,1707,0.425685786,0.9159,0.8871,0.73,0.387875965
"RD8",2015,0.708079299333333,0.7729646905,0.7822784355,0.637268788,0.60691483,1914,0.504825291,1.0024,1.0261,0.66,0.377705813
"RD8",2016,0.707441726666667,0.763099915,0.7730685935,0.652163046,0.604903913,1914,0.452223273,1.0261,1.0404,0.65,0.377833892
"RD8",2017,0.700634647,0.76623909625,0.774145629,0.654844738,0.61203459,1914,0.428914938,1.0404,0.9361,0.64,0.373600096
"RD8",2018,0.717287853,0.7803892585,0.77948074975,0.684506231,0.636325343,1914,0.436944938,0.9361,1.0466,0.63,0.399292044
"RD8",2019,0.720591634333333,0.779886449,0.78040991925,0.701745087,0.669733617,1914,0.555265448,1.0466,1.158,0.64,0.399150652
